alpha obs_time
2.1702561281963835 48927.0
1.9222968850148585 50254.0
1.6805209238579562 53352.0
1.7999712293166326 20262.0
1.7677956657906817 16670.0
2.220357173032924 59593.0
1.9998824063325222 54841.0
2.029465233126915 44899.0
1.9449899074134616 79927.0
1.974421711569153 71751.0
2.212112318657739 49818.0
2.033929706716509 86220.0
2.206810611866122 90441.0
0.9889879665273402 20657.0
1.7640921236643843 26066.0
2.003860113076173 79641.0
1.9238610386403692 28766.0
1.8405585542736282 47540.0
0.9672922401498354 18567.0
1.806993484118622 20256.0
2.0680680766268926 45701.0
1.1097051283615524 13651.0
2.161791544590535 42981.0
1.9402664717712779 35083.0
1.5021655820658317 50224.0
2.325050343249071 71732.0
2.2992254798968097 65011.0
2.2429906480480692 64159.0
1.8153352478565417 34541.0
1.8627895266384387 55482.0
2.1671865190061883 69435.0
1.0810889418334444 27593.0
1.0187568749582339 19279.0
2.4618706792245453 47222.0
1.676977809564352 58579.0
1.4475876994755223 19190.0
1.419645448129567 31049.0
1.4477111220646832 45386.0
2.2314392918555876 80255.0
1.9950448844114184 36794.0
1.6830449673328196 54785.0
2.057301359087685 37483.0
1.5007739007232423 31355.0
2.1520156614669963 86721.0
2.2907415273548395 92892.0
0.6380348361404835 12614.0
2.1907879469286806 74589.0
1.541513267116526 29239.0
1.7738740503996948 42845.0
1.7284630539027994 14294.0
2.437325946669263 71855.0
2.488254737143418 73900.0
1.462821048124322 23512.0
2.101344574149276 52221.0
2.2876956567924625 50271.0
2.030241367387213 37714.0
2.082585488546789 77300.0
2.1347550155170567 85865.0
1.4886969807586863 47532.0
2.0402838776496424 23900.0
2.394732412341174 67016.0
2.1431382292636245 24217.0
2.35035043339314 63733.0
0.5301684488942144 10503.0
1.215836950985853 27584.0
2.2736726701593137 78351.0
1.8645033295116291 52445.0
1.4286435958834796 18164.0
1.7825668994869168 47701.0
1.9355713791698022 66007.0
1.2894819432073616 27942.0
2.1537338289226424 65446.0
1.4160939591932955 14536.0
2.0690368336611424 37739.0
1.4805275467461243 15854.0
1.9352090795741668 78671.0
2.112819435439277 35093.0
1.8506470893133269 72469.0
2.33355689966327 87440.0
1.4641783046222074 45536.0
2.2494459308382213 33565.0
2.1987334277181576 95967.0
1.6754108961066465 43797.0
1.8010928777326898 81731.0
2.1899909926571786 33679.0
2.3766253982578336 60256.0
2.363449694546548 60821.0
1.9310198985516027 26789.0
2.231612469240385 52558.0
2.1800160528661627 33424.0
1.8921420483679308 39773.0
1.1976166769907297 13526.0
2.1789038247019907 86250.0
1.6927221761779014 53627.0
1.2260492930220326 24422.0
2.1576280543757793 98068.0
0.8755253840285195 23169.0
1.4605567456691106 46766.0
0.8837326264101018 16040.0
2.029885355604489 49302.0
1.0776472748819377 15854.0
2.2487904847705993 80812.0
2.1131609286451205 40836.0
2.0736090536857876 23322.0
2.230733018500991 60764.0
2.141375002408375 45208.0
2.1159191653075946 41872.0
2.5403158142265854 86780.0
1.489272980639801 51046.0
2.008771658328337 89946.0
1.9400804764656803 95783.0
1.648516984617587 43993.0
2.005735727056356 77275.0
1.858506061929349 29098.0
1.0199958321280667 15569.0
1.4419840133649156 26347.0
1.266673504579638 21806.0
1.929758133548319 71987.0
2.4960381358011037 89032.0
2.285710393344165 95196.0
1.8350157624331325 64968.0
2.157196961036285 35313.0
1.8766695997981504 32363.0
1.9727794031345731 38421.0
1.722730950354994 62072.0
2.4345783319171885 68436.0
1.4050778169997715 35769.0
1.404581460416405 34731.0
2.1578979947132435 44350.0
1.6130007771654034 34402.0
1.7783551521066188 34944.0
1.2496931617456797 36103.0
1.906329482192885 30376.0
2.3122108397520744 85831.0
2.319277931187267 74268.0
1.2784163421830688 34279.0
1.8834722827015073 50383.0
1.9837020021818705 89549.0
2.300462834956854 52503.0
2.4537293783298564 67544.0
1.2369210298229536 25692.0
1.3624644466564713 35412.0
1.2931152719060557 29734.0
0.7198795741395962 12501.0
1.7146279127631343 48055.0
2.257268862670201 41064.0
2.2081388497748575 31706.0
2.280108272046927 33409.0
0.51117432005061 12091.0
1.5591586581987082 33041.0
2.231463219271718 42746.0
1.7242901969863658 39646.0
1.7667153215204534 17009.0
1.8239473308405725 80761.0
1.3628956130775343 43803.0
1.5337977620332133 36435.0
2.085514797101031 61640.0
1.5752683810659542 13737.0
1.8446037502441415 76405.0
1.9181275561598636 81543.0
1.9293267293422207 20042.0
1.5724910766420601 53726.0
1.367606864247349 17351.0
2.1866896342617754 78111.0
1.6381608324919887 17345.0
1.5869478357214377 11343.0
1.1816579615867036 20895.0
1.145389917202617 30379.0
1.5923710609955886 57598.0
1.3086775515205773 20771.0
1.5483256257508473 38714.0
2.434422119202948 75780.0
1.7003433506784646 22965.0
1.1626012884520394 10469.0
1.1583658200024796 17974.0
2.124882952671979 36889.0
2.0677321974392866 40512.0
2.4046571361063145 74605.0
1.9268786521466963 38562.0
2.396009466604373 57670.0
1.4189173957962131 12687.0
1.3925290218751283 26309.0
2.1570319851572193 29377.0
2.0361891818475266 94970.0
1.0954029395608194 23384.0
1.5178119153702716 37171.0
1.6757758820538184 14678.0
1.9286963898029879 75936.0
2.3991864075760945 59632.0
2.612767366717868 69218.0
2.0997080980980964 87156.0
2.3844437734280524 98340.0
2.426536843405749 49214.0
2.5764362774200142 55514.0
2.5826265232004877 55938.0
2.515055494840333 80610.0
2.4722113077401247 53967.0
2.0232685869143925 57869.0
1.7143158899018869 30139.0
