alpha log_norm
2.072760773113537 -2.112862625525132
1.6025936209733338 -2.475461246136425
2.2151930300737437 -1.9301451882219558
1.2772032854453679 -2.549030470668582
1.459007737061914 -2.6060055448826867
1.7953034304378723 -2.4093276950374816
1.43056155648864 -2.4273639068322357
1.634900696200587 -2.2995399680644266
1.1767615729368284 -2.623673689853349
1.382148408775641 -2.4639993897423142
1.5563172848104245 -2.330196454789509
1.9095050577731945 -2.2790482478835203
1.6726791245335348 -2.333912881123239
1.8601225859754933 -2.304722717050878
1.9546601960338041 -2.1450680996506195
1.4075271007372487 -2.5406014181160956
2.2099937699064753 -2.005743851321224
1.382148408775641 -2.4597183264092415
1.7603625746983909 -2.166584104858214
1.6039709027589641 -2.3482416642227735
1.8023471112677605 -2.155412994326653
1.74357865998449 -2.3482416642227735
1.8801182061821564 -2.3324600948627765
1.8191981612798156 -2.117780185814158
2.0982592207279485 -2.0116501689162423
1.3381294013044585 -2.5880401025783115
1.3386277225598675 -2.62770746692176
1.8737824378692292 -2.184780078731124
1.5686044947510651 -2.543349069972356
1.9350719425314107 -2.069220990804799
1.9010561243511161 -2.289314029434001
1.8071124492200628 -2.4129459419305723
2.0107731335492454 -2.0243999800773818
1.2793727953905354 -2.6443773828664416
2.157244241300353 -2.10607338300371
1.3813790970150024 -2.505196154490732
1.3300429976284975 -2.5587703291911783
1.745836117747831 -2.360883037903278
1.6327072784008196 -2.4841004751102385
1.74357865998449 -2.3133554762724793
1.8672470727542274 -2.177834305639917
1.7359367612729344 -2.3298899742721
1.456683382280752 -2.3547134627310564
1.2156677885096818 -2.655981870337126
1.8949140923439978 -2.276927412705073
1.8761214167236893 -2.24188951920927
1.4586423697274336 -2.453771142666463
1.9157426753334774 -2.2404505865189166
1.8070224927243648 -2.3519266413692335
1.5095896736411958 -2.5208191220507796
1.6809701403827524 -2.2933571911637562
1.4708637444143435 -2.357084821415551
1.9636086036830775 -2.2275784308680127
1.6911176814010707 -2.385916752318497
1.5453751070596655 -2.4416318307933507
1.6044010806463889 -2.4639993897423142
1.5435909575005675 -2.3387875674715413
2.145434702805638 -1.9313780869815227
1.6392227767060923 -2.3325670721265723
1.6085784554639608 -2.505196154490732
1.655254815877404 -2.2850532501024636
1.9599924588716156 -2.136487095688979
1.3321938895636722 -2.5342060504236894
1.5324959428994644 -2.508705220512317
1.4075271007372487 -2.5617694364987305
2.145434702805638 -2.0965681348452465
2.2802493548772134 -1.8990265224105545
1.5984817345778675 -2.3475931080019397
2.18425858538036 -2.009802185226527
1.3770213027340232 -2.4337311429537163
1.4708637444143435 -2.43846192698632
1.8949140923439978 -2.152546059710197
1.634900696200587 -2.3201620744568237
1.7430490184419767 -2.378609329092316
2.036876752112181 -2.0767441417479704
1.5159343350573924 -2.579761754030927
1.74357865998449 -2.3317301598066305
1.498853050613734 -2.3621364322610146
2.2151930300737437 -1.9875070782753872
1.8214198733793543 -2.328699714587291
1.5970886924486218 -2.493150180045916
1.9759267282372701 -2.0541662887120617
2.072760773113537 -2.221952565615833
1.5984817345778675 -2.2933571911637562
1.7953034304378723 -2.1666320408486395
1.7940466394942771 -2.3547134627310564
1.4586423697274336 -2.46648190956894
1.7314767725015876 -2.3532856142850713
1.634900696200587 -2.2504508705999573
1.3300429976284975 -2.5278532677377124
2.037369305864934 -2.093792128467104
1.600028222664663 -2.4093276950374816
1.750600233309132 -2.4248786876715327
1.4259971034127472 -2.5345031806546716
1.5453751070596655 -2.485970389561417
1.750600233309132 -2.336112564459352
1.7449752908092488 -2.3387875674715413
1.7872708731263143 -2.2379690328907973
1.748044992471485 -2.4597183264092415
1.8071124492200628 -2.300375081312694
1.9755238980674834 -2.0545572553392373
1.655254815877404 -2.5210687450906883
1.3636439256991946 -2.492903489701855
1.5106092014075043 -2.3332158326775474
2.0081252664649627 -2.061293124033104
1.7928192948376898 -2.275799347155961
1.9307195481336146 -2.356668793142149
1.2772032854453679 -2.5879556781064394
1.3861142295093725 -2.4787993594335536
1.3120898903022975 -2.623673689853349
1.6726791245335348 -2.3837089490965813
1.940877128464656 -2.2404505865189166
1.3872648972519428 -2.494154385316322
2.037369305864934 -2.1450680996506195
1.7402752072411676 -2.4273639068322357
1.7046052874348223 -2.4542925900844432
1.9157426753334774 -2.094224831204474
2.0982592207279485 -2.0545572553392373
1.5324959428994644 -2.429662416463477
1.719311252425015 -2.311933722699112
2.242360153438718 -2.0567296205756325
1.6001957361370327 -2.509656540361086
1.7180187944975776 -2.194170363954442
1.655254815877404 -2.3103804844212448
1.43115431114491 -2.4460895872828514
1.263606189925682 -2.556855439023053
1.6122415457278496 -2.5327981112549045
1.407593862024816 -2.3974812975771265
1.5883961390243058 -2.3963187560434385
1.6026426536854232 -2.3332158326775474
1.5883961390243058 -2.311933722699112
1.748044992471485 -2.2504508705999573
2.068731624623994 -2.1997620509748144
2.037369305864934 -2.069220990804799
1.3114782673667316 -2.5208191220507796
1.8737824378692292 -2.24188951920927
1.4324026143086277 -2.54571293201433
1.43056155648864 -2.5263840930927692
1.7732772663468759 -2.3332158326775474
1.8949140923439978 -2.3010841770158708
1.9636086036830775 -2.1183452025122187
1.5435909575005675 -2.3201620744568237
1.7180187944975776 -2.2295718251246646
