Energy Unpiled Piled
3.5899999141693115 0 0
3.5999999046325684 1 2
3.609999895095825 1 2
3.619999885559082 1 2
3.630000114440918 1 0
3.640000104904175 0 0
3.6500000953674316 1 1
3.6600000858306885 1 1
3.6700000762939453 0 1
3.680000066757202 1 1
3.690000057220459 1 2
3.700000047683716 0 1
3.7100000381469727 0 0
3.7200000286102295 1 1
3.7300000190734863 3 0
3.740000009536743 0 1
3.75 1 1
3.759999990463257 1 0
3.7699999809265137 2 3
3.7799999713897705 0 1
3.7899999618530273 0 0
3.799999952316284 1 2
3.809999942779541 0 0
3.819999933242798 0 0
3.8299999237060547 0 1
3.8399999141693115 1 0
3.8499999046325684 0 0
3.859999895095825 0 0
3.869999885559082 0 0
3.880000114440918 0 0
3.890000104904175 0 0
3.9000000953674316 0 1
3.9100000858306885 0 1
3.9200000762939453 0 0
3.930000066757202 0 0
3.940000057220459 0 0
3.950000047683716 0 1
3.9600000381469727 0 0
3.9700000286102295 0 0
3.9800000190734863 0 0
3.990000009536743 0 0
4.0 1 1
4.010000228881836 1 0
4.019999980926514 0 0
4.03000020980835 0 1
4.039999961853027 0 0
4.050000190734863 0 1
4.059999942779541 0 0
4.070000171661377 0 1
4.079999923706055 0 0
4.090000152587891 1 1
4.099999904632568 0 0
4.110000133514404 0 1
4.119999885559082 0 1
4.130000114440918 0 0
4.139999866485596 0 0
4.150000095367432 0 0
4.159999847412109 0 0
4.170000076293945 1 1
4.179999828338623 0 0
4.190000057220459 1 2
4.199999809265137 0 0
4.210000038146973 0 0
4.21999979019165 1 2
4.230000019073486 0 0
4.239999771118164 0 0
4.25 1 0
4.260000228881836 0 0
4.269999980926514 0 1
4.28000020980835 0 0
4.289999961853027 0 2
4.300000190734863 0 0
4.309999942779541 0 0
4.320000171661377 0 0
4.329999923706055 0 0
4.340000152587891 1 1
4.349999904632568 0 0
4.360000133514404 0 0
4.369999885559082 1 0
4.380000114440918 0 0
4.389999866485596 0 1
4.400000095367432 0 1
4.409999847412109 1 2
4.420000076293945 0 2
4.429999828338623 2 1
4.440000057220459 0 0
4.449999809265137 0 1
4.460000038146973 1 1
4.46999979019165 1 0
4.480000019073486 0 0
4.489999771118164 1 2
4.5 0 1
4.510000228881836 0 1
4.519999980926514 0 0
4.53000020980835 0 0
4.539999961853027 0 0
4.550000190734863 1 1
4.559999942779541 0 0
4.570000171661377 0 1
4.579999923706055 0 0
4.590000152587891 0 0
4.599999904632568 0 1
4.610000133514404 0 0
4.619999885559082 1 0
4.630000114440918 0 0
4.639999866485596 0 1
4.650000095367432 0 0
4.659999847412109 0 0
4.670000076293945 1 0
4.679999828338623 0 0
4.690000057220459 2 1
4.699999809265137 0 0
4.710000038146973 0 1
4.71999979019165 1 0
4.730000019073486 0 0
4.739999771118164 0 0
4.75 0 0
4.760000228881836 0 0
4.769999980926514 0 0
4.78000020980835 1 0
4.789999961853027 0 0
4.800000190734863 0 0
4.809999942779541 0 0
4.820000171661377 0 0
4.829999923706055 0 0
4.840000152587891 0 1
4.849999904632568 1 1
4.860000133514404 1 1
4.869999885559082 1 1
4.880000114440918 0 0
4.889999866485596 0 0
4.900000095367432 0 0
4.909999847412109 0 0
4.920000076293945 0 1
4.929999828338623 0 0
4.940000057220459 0 0
4.949999809265137 0 0
4.960000038146973 0 0
4.96999979019165 1 0
4.980000019073486 0 1
4.989999771118164 0 0
5.0 1 1
5.010000228881836 0 0
5.019999980926514 0 0
5.03000020980835 1 0
5.039999961853027 0 1
5.050000190734863 0 0
5.059999942779541 0 0
5.070000171661377 1 0
5.079999923706055 0 0
5.090000152587891 1 0
5.099999904632568 0 0
5.110000133514404 1 1
5.119999885559082 1 0
5.130000114440918 0 1
5.139999866485596 0 0
5.150000095367432 0 0
5.159999847412109 0 0
5.170000076293945 0 0
5.179999828338623 1 1
5.190000057220459 0 0
5.199999809265137 0 0
5.210000038146973 1 0
5.21999979019165 0 0
5.230000019073486 0 1
5.239999771118164 0 0
5.25 0 0
5.260000228881836 1 0
5.269999980926514 1 1
5.28000020980835 0 0
5.289999961853027 0 0
5.300000190734863 0 0
5.309999942779541 0 0
5.320000171661377 1 1
5.329999923706055 0 0
5.340000152587891 1 0
5.349999904632568 1 1
5.360000133514404 0 0
5.369999885559082 1 0
5.380000114440918 0 0
5.389999866485596 0 0
5.400000095367432 0 0
5.409999847412109 0 0
5.420000076293945 0 0
5.429999828338623 1 2
5.440000057220459 0 0
5.449999809265137 0 1
5.460000038146973 1 0
5.46999979019165 1 0
5.480000019073486 0 0
5.489999771118164 0 0
5.5 0 0
5.510000228881836 0 1
5.519999980926514 0 1
5.53000020980835 0 0
5.539999961853027 0 0
5.550000190734863 0 1
5.559999942779541 0 0
5.570000171661377 0 0
5.579999923706055 0 0
5.590000152587891 0 1
5.599999904632568 0 0
5.610000133514404 0 0
5.619999885559082 0 0
5.630000114440918 0 0
5.639999866485596 1 0
5.650000095367432 0 0
5.659999847412109 0 0
5.670000076293945 0 0
5.679999828338623 0 1
5.690000057220459 1 1
5.699999809265137 0 0
5.710000038146973 0 0
5.71999979019165 0 0
5.730000019073486 0 0
5.739999771118164 0 0
5.75 0 0
5.760000228881836 0 0
5.769999980926514 2 0
5.78000020980835 0 0
5.789999961853027 0 0
5.800000190734863 0 0
5.809999942779541 0 0
5.820000171661377 0 0
5.829999923706055 0 0
5.840000152587891 0 0
5.849999904632568 0 0
5.860000133514404 0 0
5.869999885559082 0 0
5.880000114440918 0 0
5.889999866485596 0 1
5.900000095367432 0 0
5.909999847412109 0 1
5.920000076293945 0 1
5.929999828338623 0 0
5.940000057220459 0 1
5.949999809265137 0 0
5.960000038146973 0 0
5.96999979019165 0 0
5.980000019073486 0 0
5.989999771118164 0 0
6.0 0 0
6.010000228881836 0 0
6.019999980926514 0 0
6.03000020980835 0 0
6.039999961853027 0 0
6.050000190734863 1 1
6.059999942779541 1 0
6.070000171661377 0 1
6.079999923706055 1 0
6.090000152587891 0 0
6.099999904632568 1 0
6.110000133514404 0 0
6.119999885559082 0 0
6.130000114440918 0 1
6.139999866485596 0 0
6.150000095367432 1 1
6.159999847412109 0 0
6.170000076293945 0 0
6.179999828338623 1 0
6.190000057220459 0 0
6.199999809265137 0 1
6.210000038146973 0 0
6.21999979019165 0 0
6.230000019073486 0 0
6.239999771118164 0 0
6.25 0 0
6.260000228881836 0 0
6.269999980926514 0 1
6.28000020980835 0 2
6.289999961853027 1 1
6.300000190734863 0 0
6.309999942779541 0 1
6.320000171661377 0 0
6.329999923706055 0 0
6.340000152587891 0 0
6.349999904632568 0 1
6.360000133514404 1 0
6.369999885559082 0 0
6.380000114440918 0 0
6.389999866485596 0 0
6.400000095367432 0 0
6.409999847412109 0 1
6.420000076293945 0 0
6.429999828338623 0 0
6.440000057220459 0 0
6.449999809265137 0 0
6.460000038146973 0 0
6.46999979019165 0 0
6.480000019073486 0 0
6.489999771118164 0 0
6.5 0 1
6.510000228881836 0 0
6.519999980926514 0 0
6.53000020980835 0 0
6.539999961853027 0 0
6.550000190734863 1 0
6.559999942779541 0 0
6.570000171661377 0 0
6.579999923706055 0 0
6.590000152587891 1 0
6.599999904632568 0 0
6.610000133514404 0 0
6.619999885559082 0 0
6.630000114440918 0 0
6.639999866485596 0 0
6.650000095367432 0 0
6.659999847412109 0 0
6.670000076293945 0 0
6.679999828338623 0 0
6.690000057220459 1 0
6.699999809265137 0 0
6.710000038146973 0 0
6.71999979019165 0 1
6.730000019073486 0 0
6.739999771118164 0 0
6.75 0 0
6.760000228881836 0 0
6.769999980926514 1 2
6.78000020980835 0 0
6.789999961853027 0 0
6.800000190734863 0 0
6.809999942779541 0 0
6.820000171661377 0 0
6.829999923706055 0 0
6.840000152587891 0 0
6.849999904632568 0 0
6.860000133514404 0 0
6.869999885559082 0 0
6.880000114440918 0 0
6.889999866485596 1 1
6.900000095367432 0 0
6.909999847412109 0 0
6.920000076293945 0 0
6.929999828338623 0 1
6.940000057220459 0 1
6.949999809265137 0 0
6.960000038146973 0 0
6.96999979019165 0 0
6.980000019073486 0 0
6.989999771118164 0 0
7.0 1 0
7.010000228881836 1 0
7.019999980926514 0 1
7.03000020980835 0 0
7.039999961853027 0 1
7.050000190734863 0 0
7.059999942779541 0 0
7.070000171661377 0 0
7.079999923706055 0 0
7.090000152587891 0 0
7.099999904632568 0 0
7.110000133514404 0 0
7.119999885559082 0 0
7.130000114440918 0 0
7.139999866485596 0 0
7.150000095367432 0 0
7.159999847412109 0 0
7.170000076293945 0 1
7.179999828338623 0 0
7.190000057220459 0 0
7.199999809265137 0 0
7.210000038146973 0 0
7.21999979019165 0 0
7.230000019073486 0 0
7.239999771118164 0 0
7.25 0 0
7.260000228881836 0 0
7.269999980926514 0 1
7.28000020980835 0 0
7.289999961853027 0 1
7.300000190734863 0 0
7.309999942779541 0 0
7.320000171661377 0 0
7.329999923706055 1 1
7.340000152587891 0 0
7.349999904632568 0 0
7.360000133514404 0 0
7.369999885559082 0 0
7.380000114440918 0 0
7.389999866485596 0 0
7.400000095367432 0 0
7.409999847412109 0 0
7.420000076293945 0 0
7.429999828338623 0 0
7.440000057220459 0 0
7.449999809265137 0 0
7.460000038146973 0 0
7.46999979019165 0 0
7.480000019073486 1 1
7.489999771118164 0 0
7.5 1 0
7.510000228881836 1 0
7.519999980926514 0 0
7.53000020980835 0 0
7.539999961853027 0 0
7.550000190734863 0 0
7.559999942779541 0 0
7.570000171661377 0 0
7.579999923706055 0 0
7.590000152587891 0 1
7.599999904632568 0 0
7.610000133514404 0 0
7.619999885559082 0 0
7.630000114440918 1 0
7.639999866485596 0 0
7.650000095367432 0 0
7.659999847412109 0 0
7.670000076293945 0 1
7.679999828338623 0 0
